"","name","member","reference","tsea_category","classification","host_gene","snp_id","mesh","omim","seq_inst","abund_change","relationship","evidence","host_sp","num_samples","host_age","host_site"
"74","Core Microbiome Oral Cavity","Dialister micraerophilus DSM 19965; Dialister microaerophilus UPII-345-E; Gardnerella vaginalis HMP9231; Leptotrichia hofstadii F0254; Leptotrichiaodfellowii D28; Leptotrichia wadei F0279; Leptotrichia.al taxon 225 F0581; Abiotrophia defectiva ATCC 49176; Atopobium rimae ATCC 49626; Eubacterium infirmum F0142; Filifactor alocis ATCC 35896; Fusobacterium periodonticum D10; Gemella haemolysans ATCC 10379; Gemella haemolysans M341; Gemella moribillum M424; Gemella sanguinis M325; Neisserianerea ATCC 14685; Neisseria elongataycolytica ATCC 29315; Neisseriaavescens NRL30031/H210; Neisseriaavescens SK114; Neisseria lactamica ATCC 23970; Neisseria mucosa M26, ATCC 25996; Neisseria mucosa C102; Neisseria polysaccharea ATCC 43768; Neisseriacca ATCC 29256; Neisseria flava NJ9703; Paenibacillus. D14; Peptoniphilus lacrimalis 315-B; Peptoniphilus. F0131; Porphyromonas endodontalis ATCC 35406; Prevotella bivia; Prevotella buccae D17; Prevotella buccalis ATCC 35310; Prevotella disiens VPI 8057; Prevotella melaninogenica ATCC 25845; Prevotella melaninogenica D18; Prevotella melaninogenica; Prevotella nigrescens F0103; Prevotella oralis ATCC 33269; Prevotella oris C735; Prevotella. C561; Prevotella. F0108; Prevotella tannerae ATCC 51259; Rothia dentocariosa ATCC 17931; Rothia dentocariosa M567; Rothia mucilaginosa ATCC 25296; Rothia mucilaginosa M508; Rothia aeria F0184; Treponemacranskiicranskii VPI DR56BR1116; Veillonella atypica KON, ATCC 17744; Veillonella dispar ATCC 17748; Bifidobacterium dentium JCM 1195; Prevotella oris F0302; Prevotella veroralis F0319; Bacillus. 2_A_57_CT2; Veillonella parvula ATCC 17745; Porphyromonas. KLE 1280; Clostridium difficile 002-P50-2011; Clostridium difficile 050-P50-2011; Olsenella profusa F0195, D221A-01; Actinomycesorgiae F0490; Actinomyces massiliensis F0489; Capnocytophaga ochracea Holt 25; Capnocytophaga.al taxon 335 F0486; Capnocytophaga.al taxon 412 F0487; Porphyromonas gingivalis W50, ATCC 53978; Porphyromonas.al taxon 279 F0450; Rothia aeria F0474; Treponemacranskiicranskii VPI DR56BR1116; Atopobium. BS2; Atopobium. ICM42b; Bifidobacterium. MSTE12; Lachnospiraceae bacterium MSX33; Eubacterium. OBRC9; Fusobacterium. CM21; Fusobacterium. CM1; Fusobacterium. ACC1; Fusobacterium. CM22; Fusobacterium. OBRC1; Klebsiella. AS10; Olsenella uli MSTE5; Oribacterium. ICM51; Prevotella. ICM33; Prevotella. ICM55; Shuttleworthia. MSX8B; Streptococcus. AC15; Streptococcus. ACC21; Streptococcus. CM7; Streptococcus. OBRC6; Streptococcus. BS29a; Streptococcus. AS20; Streptococcus. BS21; Streptococcus. CM6; Streptococcus. ACS2; Streptococcus. SR1; Streptococcus. SR4; Streptococcus. SR5; Veillonella. AS16; Actinomyces. ICM54; Prevotella. Oral Taxon 475 F0059; Providencia alcalifaciens F90-2004; Providencia alcalifaciens 205/92; Providencia alcalifaciens R90-1475; Providencia alcalifaciens RIMD 1656011; Providencia alcalifaciens PAL-1; Providencia alcalifaciens PAL-2; Providencia alcalifaciens PAL-3; Klebsiellaytoca OK-1; Klebsiellaytoca KA-2; Klebsiellaytoca KO-1; Prevotella.al taxon 376 F0043; Capnocytophaga ochracea F0287; Prevotella maculosa F0099; Prevotella. F0295; Actinomyces.al taxon 170 F0386; Actinomyces.al taxon 171 F0337; Actinomyces. F0384; Actinomyces.al taxon 181 F0379; Actinomyces.al taxon 448 F0400; Atopobium.al Taxon 810 F0209; Capnocytophaga.al taxon 338 F0234; Capnocytophaga.al taxon 324 F0483; Capnocytophaga.al taxon 326 F0382; Capnocytophaga.al taxon 329 F0087; Capnocytophaga.al taxon 332 F0381; Capnocytophaga.al taxon 380 F0488; Cardiobacterium valvarum F0432; Centipeda periodontii DSM 2778; Enterobacter hormaechei ATCC 49162; Enterococcussseliflavus ATCC 12755; Enterococcus italicus DSM 15952; Eubacterium brachy ATCC 33089; Eubacterium minutum ATCC 700079; Eubacteriumlci ATCC 35585; Fusobacterium.al taxon 370 F0437; Haemophilus aegyptius ATCC 11116; Haemophilus.al taxon 851 F0397; Lachnospiraceae bacterium bacteriumal taxon 082 F0431; Lactobacillusis F0423; Lactobacillus parafarraginis F0439; Lactobacillus kisonensis F0435; Olsenella profusa D315A-29, DSM 13989; Oribacterium.al taxon 108 F0425; Parvimonas.al taxon 110 F0139; Parvimonas.al taxon 393 F0440; Peptoniphilus indolicus. Type C; Peptoniphilus. F0436; Peptoniphilus. F0141; Prevotella baroniae F0067; Prevotella denticola F0289; Prevotella histicola F0411; Prevotella micans F0438; Prevotella multiformis DSM 16608; Prevotella pallens ATCC 700821; Prevotella salivae F0493; Prevotella. F0091; Prevotellaccharolytica F0055; Propionibacterium propionicum F0230a; Scardovia wiggsiae F0424; Selenomonas. F0473; Selenomonas.al taxon 137 F0430; Selenomonas.al taxon 138 F0429; Selenomonas.al taxon 149 67H29BP; Streptococcus agalactiae ATCC 13813; Streptococcus downei F0415; Streptococcus intermedius F0413; Streptococcus mitis bv. 2 F0392; Streptococcus peroris ATCC 700780; Streptococcus.al taxon 056 F0418; Streptococcus.al taxon 058 F0407; Streptococcus. F0442; Streptococcus. F0441; Streptococcus.al taxon 071 73H25AP; Streptococcus vestibularis F0396; Treponema lecithinolyticum ATCC 700332; Treponema maltophilum ATCC 51939; Treponema medium ATCC 700293; Veillonella.al taxon 158 F0412; Veillonella. F0422; Synergistetes bacterium SGP1; Actinomyces europaeus ACS-120-V-Col10b; Capnocytophaga granulosa ATCC 51502; Johnsonella ignava ATCC 51276; Selenomonas infelix ATCC 43532; Treponema denticola F0402; Streptococcusistatus F0329; Prevotella nigrescens ATCC 33563; Prevotella salivae DSM 15606; Streptococcus australis ATCC 700641; Streptococcusistatus ATCC 51100; Streptococcus vestibularis ATCC 49124; Megasphaera micronuciformis F0359; Solobacterium moorei F0204; Prevotella oulorum F0390; Selenomonas artemidis F0399; Oribacterium. ACB7; Oribacterium. ACB1; Peptostreptococcaceae bacterium CM5; Peptostreptococcaceae bacterium ACC19a; Peptostreptococcaceae bacterium CM2; Streptococcus intermedius F0395; Prevotella maculosa OT 289; Streptococcusistatus SK231; Streptococcus australis ATCC 700641; Enterococcus faecalis TUSoD Ef11; Enterococcus faecium PC4.1; Actinomycesontolyticus ATCC 17982; Actinomycesontolyticus C702; Lactobacillus salivarius HO66, ATCC 11741; Actinomycesontolyticus F0309; Actinomyces.al taxon 848 F0332; Bacteroidetesal taxon 274 F0058; Propionibacterium avidum VPI 0179; Campylobacteracilis ATCC 33236; Campylobacter rectus RM3267, CCUG 20446; Campylobacterowae RM3277; Capnocytophaga gingivalis ATCC 33624; Capnocytophagautigena Capno, ATCC 33612; Prevotella stercorea DSM 18206","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.7 - Compositional State Microbiome","Strain",NA,NA,NA,NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Oralvity"
"75","Core Microbiome Skin","Acinetobacter junii SH205; Acinetobacterlcoaceticus RUH2202; Acinetobacter. SH024; Acinetobacter. RUH2624; Acinetobacter johnsonii SH046; Acinetobacter lwoffii SH145; Acinetobacter radioresistens SH164; Acinetobacter radioresistens SK82; Lactobacillus jensenii 208-1; Corynebacterium pseudodiphtheriticum; Acinetobacter baumannii 6013113; Acinetobacter baumannii 6013150; Acinetobacter baumannii 6014059; Acinetobacter. ATCC 27244; Actinomycesaevenitzii C83; Actinomyces viscosus C505; Anaerococcus.; Dermacoccus. Ellin185; Enhydrobacter aerosaccus SK60; Prevotella disiens; Prevotella.; Propionibacterium acnes SK137; Fusobacterium. D11; Propionibacterium acidifaciens F0233; Staphylococcuspitis SK14; Staphylococcusprae C87; Staphylococcus hominis hominis C80; Staphylococcus hominis SK119; Streptococcus agalactiae; Actinomyces. F0330; Propionibacterium. 5_U_42AFAA; Propionibacterium acnes SK187; Propionibacterium acnes SK182B-JCVI; Corynebacteriummulans; Kingella denitrificans ATCC 33394; Propionibacterium acnes SK182; Propionibacterium acnes J139; Propionibacterium acnes J165; Propionibacterium acnes HL096PA3; Propionibacterium acnes HL096PA2; Propionibacterium acnes HL103PA1; Propionibacterium acnes HL099PA1; Propionibacterium acnes HL097PA1; Staphylococcus warneri L37603, SK66; Finegoldia magna ATCC 29328; Propionibacterium acnes JCVI192; Propionibacterium avidum VPI 0179; Acinetobacter baumannii ATCC 19606, CIP 70.34","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.7 - Compositional State Microbiome","Strain",NA,NA,NA,NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Skin"
"76","Core Microbiome Stomach","Helicobacter pylori 83; Helicobacter pylori 35","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.7 - Compositional State Microbiome","Strain",NA,NA,NA,NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Stomach"
"77","Core Microbiome Vaginal","Actinomyces urogenitalis DSM 15434; Actinomycesleocanis DSM 15436; Anaerococcus lactolyticus ATCC 51172; Anaerococcus tetradius ATCC 35098; Bifidobacterium dentium JCVIHMP022; Corynebacterium aurimucosum CN-1, ATCC 700975; Lactobacillusleohominis 101-4-CHN; Lactobacillusleohominis DSM 14060; Lactobacillus crispatus MV-1A-US; Lactobacillus crispatus MV-3A-US; Lactobacillus crispatus SJ-3C-US; Lactobacillusrmentum ATCC 14931; Lactobacillusrmentum 28-3-CHN; Lactobacillus iners UPII 143-D; Lactobacillus iners UPII 60-B; Lactobacillus jensenii 1153; Lactobacillus jensenii 27-2-CHN; Lactobacillus jensenii SJ-7A-US; Sphingobacteriumiritivorum ATCC 33300; Veillonella montpellierensis; Lactobacillus jensenii 269-3; Lactobacillus gasseri 202-4; Lactobacillus crispatus 214-1; Lactobacillus jensenii 115-3-CHN; Lactobacillus crispatus 125-2-CHN; Lactobacillus gasseri SV-16A-US; Lactobacillus johnsonii 135-1-CHN; Bifidobacterium dentium JCVIHMP022; Lactobacillus gasseri 224-1; Lactobacillus iners SPIN 1401G; Lactobacillus iners LactinV 01V1-a; Lactobacillus iners LactinV 03V1-b; Lactobacillus iners LactinV 09V1-c; Lactobacillus iners LactinV 11V1-d; Lactobacillus iners SPIN 2503V10-D; Lactobacillus iners LEAF 2053A-b; Lactobacillus iners LEAF 2052A-d; Lactobacillus iners LEAF 2062A-h1; Lactobacillus iners LEAF 3008A-a; Lactobacillus iners ATCC 55195; Peptoniphilus duerdenii ATCC BAA-1640; Bifidobacterium breve ACS-071-V-Sch8b; Actinobaculum massiliae ACS-171-V-Col2; Actinobaculumhaalii FB123-CNA-2; Actinomyces hongkongensis FB160-CNA-8; Actinomyces neuii BVS029A5; Actinomyces turicensis ACS-279-V-Col4; Aerococcus urinae ACS-120-V-Col10a; Anaerococcus hydrogenalis ACS-025-V-Sch4; Atopobium vaginae PB189-T1-4; Lactobacillus crispatus FB077-07; Lactobacillus crispatus FB049-03; Campylobacter ureolyticus ACS-172-V-Col6; Eremococcusleocola ACS-139-V-Col8; Facklamia hominis ACS-120-V-Sch10; Finegoldia magna ACS-171-V-Col3; Lactobacillus delbrueckii bulgaricus PB2003/044-T3-4; Lactobacillusis PB013-T2-3; Lactobacillus salivarius ACS-116-V-Col5a; Mobiluncus mulieris FB024-16; Staphylococcus epidermidis BVS058A4; Veillonella ratti ACS-216-V-Col6b; Peptoniphilus harei ACS-146-V-Sch2b; Finegoldia magna BVS033A4; Anaerococcus prevotii ACS-065-V-Col13; Porphyromonas asaccharolytica PR426713P-I; Prevotella disiens FB035-09AN; Prevotella amnii; Prevotella denticola CRIS 18C-A; Prevotella timonensis; Propionimicrobium lymphophilum ACS-093-V-SCH5; Enterococcus durans FB129-CNAB-4; Staphylococcus lugdunensis ACS-027-V-Sch2; Campylobacter ureolyticus ACS-301-V-Sch3b; Staphylococcusmulans ACS-120-V-Sch1; Streptococcus urinalis FB127-CNA-2; Streptococcus equinus ATCC 700338; Streptococcus pseudoporcinus SPIN 20026; Veillonella atypica ACS-049-V-Sch6; Veillonella parvula ACS-068-V-Sch12; Candidaabrata CAB52-4041; Candida tropicalis CAB54-6763-3; Candida parapsilosis CAB50-2638; Alloprevotella rava F0323; Finegoldia magna HMS01; Veillonella atypica ACS-134-V-Col7a; Atopobium vaginae DSM 15829; Roseomonasrvicalis ATCC 49957","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.7 - Compositional State Microbiome","Strain",NA,NA,NA,NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Vaginal"
"78","Core Subgingival","Streptococcus HOT.064; Streptococcus mitis; Streptococcus australis; Streptococcus peroris; Gemella haemolysans; Veillonella parvula; Granulicatella adiacens; Streptococcus HOT.071; Gemella morbillorum; Streptococcus HOT.486; Streptococcus sanguinis; Gemella sanguinis; Streptococcus intermedius; Fusobacterium nucleatum; Corynebacterium matruchotii; Kingella oralis; Prevotella melaninogenica; Fusobacterium HOT.205; Terrahaemophilus aromaticivorans; Capnocytophaga leadbetteri; Porphyromonas HOT.279; Campylobacter gracilis; Actinomyces HOT.175; Fusobacterium periodocnticum; Porphyromonastoniae; Haemophilus parainfluenzae; Haemophilus haemolyticus; Veillonella HOT.780; Streptococcus HOT.487; Streptococcus HOT.487; Streptococcusistatus; Actinomyces naeslundii; Neisseria; Lautropia mirabilis; Enterococcus casseliflavus; Abiotrophia defective; Capnocytophaga gingivalis; Neisseria elongata; Eikenella corrodens; Neisseria flavescens; Leptotrichia buccalis; Capnocytophaga sputigena; Leptotrichia HOT.212; Veillonella rogosae; Neisseria mucosa; Rothia aeria; Corynebacterium durum; Prevotella HOT.317; Actinomyces HOT.169; Leptotrichia HOT.879; Neisseria pharynges; Rothia dentocariosa; Bergeyella HOT.322; Streptococcus stellatus; Veillonella atypica; Streptococcus salivarius; Leptotrichia hongkongenesis; Prevotella HOT.472; Actinomyces HOT.171; Campylobacter concisus; Streptococcus oralis; Veillonella dispar; Alloprevotella HOT.473; Streptococcus gordonii; Lachnoanaerobaculum umeaense; Streptococcus pneumoniae; Streptococcus infantis; Streptococcus HOT.431; Streptococcus HOT.074; Neisseria meningitidis; Neisseria flava; Neisseria java; Leptotrichia HOT.225; Campylobacter showae; Aggregatibacter HOT.458; Porphyromonas HOT.284; Aggregatibacter HOT513; Leptotrichia shahii; Haemophilus HOT.036; Aggregatibacter segnis; Haemophilus HOT.908; Aggregatibacter HOT.512; Pseudomonas fluorescens; Fusobacterium naviforme; Prevotella oris; Eubacterium [XIVa][G-1]; Selenomonas noxia; Prevotella oulorum; Selenomonas dianae; Fusobacterium HOT.203; Catonella morbi; Selenomonas infelix","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29631628'target='_blank'><u>PubMed</u></a>","1.7 - Compositional State Microbiome","Species",NA,NA,NA,NA,"16S rRNA - V4 region, Illumina MiSeq","N/A",NA,"Figure 4b","Homo Sapiens",143,"1-17","Oral (Subgingival)"
"79","Crohn's Disease (CD, increase)","Clostridium leptum; Bacteroides status; Bacteroides uniformis; Bacteroides vulgatus; Clostridium leptum; Enterobacteriaceae; Faecalibacterium prausnitzii; Firmicutes; Enterococcus faecium; Escherichiali; Bacteroidales; Clostridiales; Erysipelotrichales; Fusobacteriaceae; Veillonellaceae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/15667495'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C06.405.205.731.500; C06.405.469.432.500","266600; 604519; 612566; 612241; 606668; 612288; 601458; 612244; 612245; 612567; 612278; 612259; 605225; 606348; 608448; 612381","16S rRNA - Real-Time qPCR","Increase","1","Table 3; Figure 1","Homo Sapiens",59,"36.9 ± 3.3","Gut (faecal)"
"80","Crohn's Disease (g_decrease)","Bacteroides; Flavobacterium; Prevotella; Faecalibacterium; Oscillospira","<a href='https://www.ncbi.nlm.nih.gov/pubmed/28842640'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C06.405.205.731.500; C06.405.469.432.500","266600; 604519; 612566; 612241; 606668; 612288; 601458; 612244; 612245; 612567; 612278; 612259; 605225; 606348; 608448; 612381","16S rRNA - V3-V4 regions, Illumina MiSeq","Decrease","1","Figure 2","Homo Sapiens",101,"20-80","Gut (faecal)"
"81","Crohn's Disease (g_increase)","Escherichia; Veillonell","<a href='https://www.ncbi.nlm.nih.gov/pubmed/28842640'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C06.405.205.731.500; C06.405.469.432.500","266600; 604519; 612566; 612241; 606668; 612288; 601458; 612244; 612245; 612567; 612278; 612259; 605225; 606348; 608448; 612381","16S rRNA - V3-V4 regions, Illumina MiSeq","Increase","1","Figure 2","Homo Sapiens",101,"20-80","Gut (faecal)"
"82","Crohn's Disease (increase)","Bacteroides vulgatus; Bacteroides caccae; Bifidobacterium bifidum; Bifidobacterium longum; Bifidobacterium adolescentis; Bifidobacterium dentum; Blautia hansenii; Ruminococcus gnavus; Clostridium nexile; Faecalibacterium prausnitzii; Ruminoccus torques; Clostridium bolteae; Eubacterium rectale; Roseburia intestinalis; Coprococcus comes; Escherichiali; Fusobacterium nucleatum; Haemophilus parainfluenzae; Veillonella parvula; Eikenella corrodens; Gemella moribillum","<a href='https://www.ncbi.nlm.nih.gov/pubmed/24629344'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C06.405.205.731.500; C06.405.469.432.500","266600; 604519; 612566; 612241; 606668; 612288; 601458; 612244; 612245; 612567; 612278; 612259; 605225; 606348; 608448; 612381","16S rRNA - Real-Time qPCR","Increase",NA,"Figure 3","Homo Sapiens",1742,"3 to 17","Gut (faecal)"
"83","Cystic Fibrosis","Coxiellaceae; Lysobacter; Rickettsiales; Staphylococcus aureus; Stenotrophomonas maltophilia; Streptococcus mitis; Xanthomonas; Burkholderia; Lactobacillus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/20052417'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C06.689.202; C08.381.187; C16.320.190; C16.614.213",NA,"16S rRNA - Real-Time PCR","Increase","1","Figure 2","Homo Sapiens",42,"1 - 20.9","Lungs"
"84","Dandruff","Propionibacterium; Staphylococcus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27172459'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C17.800.174.146; C17.800.738.353",NA,"16S rDNA - V1-V3 regions, Roche 454 FLX","Increase","1","Figure 2","Homo Sapiens",174,"20-59","Skin (Scalp)"
"85","Decrease","Alistipes putredinis DSM 17216","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C01.539.830.025; C23.550.470.756.10",NA,"Whole Genome Sequencing","Decrease",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Various"
"86","Dental plaque","Porphyromonas gingivalis ATCC 33277; Gemella haemolysans ATCC 10379; Gemella haemolysans M341; Gemella moribillum M424; Gemella sanguinis M325","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C07.793.208.377",NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Various"
"87","Depression (decrease)","Lachnospiraceae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/24888394'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Family",NA,NA,"F01.145.126.350","608516","16S rRNA - Illumina MiSeq","Decrease","1","While there was under rep-resentation in the Lachnospiraceae family (p = 0.003,binominal test). At lower taxonomic levels, there were clades within the genus Alistipes (p = 0.007, binominaltest), and Oscillibacter (p = 0.03 binominal test) that showed overrepresentation of correlating OTU’s. How-ever, no clades showed uniform positive or negative correlations (Fig. 2A).","Homo Sapiens",55,"49.2±13.9","Gut (faecal)"
"88","Depression (increase)","Alistipes; Oscillibacter","<a href='https://www.ncbi.nlm.nih.gov/pubmed/24888394'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"F01.145.126.350","608516","16S rRNA - Illumina MiSeq","Increase","1","While there was under rep-resentation in the Lachnospiraceae family (p = 0.003,binominal test). At lower taxonomic levels, there were clades within the genus Alistipes (p = 0.007, binominaltest), and Oscillibacter (p = 0.03 binominal test) that showed overrepresentation of correlating OTU’s. How-ever, no clades showed uniform positive or negative correlations (Fig. 2A).","Homo Sapiens",55,"49.2±13.9","Gut (faecal)"
"89","Diarrhea Irritable Bowel Syndrome (IBS)","Veillonella; Lactobacillus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/19235886'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C06.405.469.158.272.608",NA,"DNA - Real-Time PCR","Increase","1","Table 4","Homo Sapiens",49,"20-65","Gut (faecal)"
"90","Down Syndrome (decrease)","Veillonellaceae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/25386941'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C10.597.606.643.220; C16.131.077.327; C16.131.260.260; C16.320.180.260","190685","16S rRNA - V4 region, Roche 454 FLX","Decrease","1","Differently, DS persons were characterized by a higher abundance in several subdominant GM genera, such as Parasporobacterium (P = 0.036) and Sutterella (P = 0.012), as well as by a reduction in the rel. ab. of the family Veillonellaceae (P = 0.005).","Homo Sapiens",17,"18-34","Gut (faecal)"
"91","Down Syndrome (increase)","Parasporobacterium; Sutterell","<a href='https://www.ncbi.nlm.nih.gov/pubmed/25386941'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C10.597.606.643.220; C16.131.077.327; C16.131.260.260; C16.320.180.260","190685","16S rRNA - V4 region, Roche 454 FLX","Increase","1","Differently, DS persons were characterized by a higher abundance in several subdominant GM genera, such as Parasporobacterium (P = 0.036) and Sutterella (P = 0.012), as well as by a reduction in the rel. ab. of the family Veillonellaceae (P = 0.005).","Homo Sapiens",17,"18-34","Gut (faecal)"
"92","Eczema","Clostridium difficile; Escherichiali","<a href='https://www.ncbi.nlm.nih.gov/pubmed/18077362'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C17.800.174.620; C17.800.815.620",NA,"DNA - Real-Time PCR","Increase","1","Table 3","Homo Sapiens",957,"1 month","Gut (faecal)"
"93","Endocarditis","Corynebacterium amycolatum SK46; Finegoldia magna ATCC 29328; Neisseria flava NJ9703; Streptococcus gallolyticus TX20005; Rothia dentocariosa ATCC 17931; Rothia dentocariosa M567; Rothia mucilaginosa ATCC 25296; Rothia mucilaginosa M508; Porphyromonas endodontalis ATCC 35406; Streptococcus sanguinis SK1; Streptococcus sanguinis SK49; Streptococcus sanguinis SK72; Streptococcus sanguinis SK115; Streptococcus sanguinis SK150; Streptococcus sanguinis SK160; Streptococcus sanguinis SK330; Streptococcus sanguinis SK340; Streptococcus sanguinis SK353; Streptococcus sanguinis SK355; Streptococcus sanguinis SK405; Streptococcus sanguinis SK408; Streptococcus sanguinis SK678; Streptococcus sanguinis SK1056; Streptococcus sanguinis SK1057; Streptococcus sanguinis SK1058; Streptococcus sanguinis SK1059; Streptococcus sanguinis SK1087; Streptococcus sanguinis VMC66; Enterococcus faecalis HH22; Enterococcus faecalis TX0104; Enterococcus faecium DO; Enterococcus faecalis S613; Enterococcus faecalis R712","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C14.280.282",NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Various"
"94","Fibromyalgia","Rothia mucilaginosa; Streptococcus parasanguinis; Streptococcus salivarius; Streptococcus vestibularis","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C05.651.324; C05.799.321; C10.668.491.425",NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase","1","Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"95","Fibromyalgia (decrease)","Faecalibacterium prausnitzii; Bacteroides uniformis; Prevotella copri; Blautia faecis","<a href='https://www.ncbi.nlm.nih.gov/pubmed/31219947'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C05.651.324; C05.799.321; C10.668.491.425",NA,"16S rRNA and Shotgun Sequencing","Decrease","1","Discussion","Homo Sapiens",156,"30-60","Gut (faecal)"
"96","Food Allergies (decrease)","Megasphaera; Ruminococcaceae; Flavobacteriaceae; Phyllobacteriaceae; Mesorhizobium; Achromobacter; Alcaligenaceae; Eggerthella; Flavobacteria; Xanthomonadaceae; Stenotrophomonas; Mogibacterium; Chryseobacterium; Comamonas","<a href='https://www.ncbi.nlm.nih.gov/pubmed/24532064'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C20.543.480.370","615508","16S rRNA - V1-V3 regions, Roche 454 platform","Decrease","1","Figure 1D","Homo Sapiens",79,"0-2","Gut (faecal)"
"97","Food Allergies (increase_s)","Coprobacillus unclassified","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C20.543.480.370","615508","Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase","1","Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"98","Food Allergies (increase)","Cytophagaceae; Nocardiaceae; Rodococcus; Corynebacterineae; Butyricicoccus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/24532064'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C20.543.480.370","615508","16S rRNA - V1-V3 regions, Roche 454 platform","Increase","1","Figure 1D","Homo Sapiens",79,"0-2","Gut (faecal)"
"99","Gastroenteritis","Edwardsiella tarda ATCC 23685; Campylobacterli JV20; Helicobacternadensis MIT 98-5491, ATCC 700968; Helicobacter pullorum MIT 98-5489; Providencia alcalifaciens. 019:H2 DSM 30120; Providencia rettgeri DSM 1131; Campylobacter upsaliensis JV21; Arcobacter butzleri JV22","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C06.405.205",NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Various"
"100","Gingivitis","Actinomycesaevenitzii C83; Actinomyces viscosus C505; Actinomyces viscosus C505; Peptostreptococcus stomatis DSM 17678","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C07.465.714.258.480",NA,"Whole Genome Sequencing","Increase","1","https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Oralvity"
